cluster3,cluster4,cluster5,Latitude,Longitude
2,2,2,40.6130427,-73.9262037
0,1,0,40.7621793,-73.9661291
0,3,4,40.8949212,-73.8531341
1,0,1,40.6911649,-73.8459671
2,1,0,40.7189626,-74.0012734
2,1,2,40.6431849,-73.9497292
2,2,2,40.6004284,-73.9418895
0,3,4,40.8130953,-73.8982589
1,0,1,40.7646586,-73.7208111
2,1,2,40.6485398,-73.9242472
2,1,0,40.7276662,-74.0031714
2,2,2,40.6420443,-73.9812339
1,0,1,40.7265632,-73.8380134
2,1,2,40.6547385,-73.9069229
0,1,0,40.7673257,-73.9298558
0,1,0,40.7615008,-73.9978197
0,1,0,40.7263019,-73.9491181
0,3,4,40.9084371,-73.9036734
0,3,4,40.8028239,-73.9303998
2,2,3,40.5725025,-74.11357
0,3,4,40.8345141,-73.9177042
1,0,1,40.7033417,-73.8002032
1,0,1,40.7653551,-73.8173235
1,0,1,40.6916518,-73.7791971
2,2,3,40.6209707,-74.123735
0,1,0,40.7955275,-73.9759285
2,1,2,40.6766464,-73.9164642
2,2,2,40.621814,-74.0022766
0,3,4,40.8508058,-73.8621199
2,1,2,40.6912281,-73.9821324
2,2,3,40.5634858,-74.1557324
1,0,1,40.687871,-73.8752791
2,1,2,40.6696841,-73.9107412
2,1,0,40.7323478,-73.9849394
1,0,1,40.6944174,-73.8359814
0,3,0,40.8157024,-73.9636791
0,3,0,40.7999853,-73.9448468
1,0,1,40.7299198,-73.742423
1,0,1,40.7419723,-73.8411542
1,0,1,40.6996983,-73.8212505
2,1,2,40.6683725,-73.9226314
0,1,0,40.7328913,-73.920574
1,0,1,40.7538316,-73.818409
2,2,3,40.6292816,-74.1133604
0,3,4,40.8827095,-73.8812458
2,1,2,40.6426886,-73.9576354
2,1,2,40.6690107,-73.9967698
0,3,4,40.8430035,-73.9035766
2,1,2,40.6481811,-73.9299991
1,0,1,40.681095,-73.8735864
2,1,0,40.7285961,-73.9876715
0,3,4,40.8103295,-73.9091329
0,1,0,40.7609059,-73.9669961
2,1,2,40.671341,-73.8995854
0,3,4,40.8655357,-73.9272684
2,1,0,40.7034061,-73.9177759
0,3,0,40.8156907,-73.9582947
2,1,0,40.7086997,-74.007286
0,1,0,40.743808,-73.924258
1,0,1,40.6959506,-73.8623681
0,3,4,40.8349018,-73.8399571
2,1,2,40.6572811,-73.9473543
1,0,1,40.7538708,-73.7809688
2,2,3,40.6037297,-74.1862851
2,1,0,40.7190282,-74.0087481
1,0,1,40.6922003,-73.8097096
2,2,2,40.5751003,-73.9985565
2,1,2,40.6604415,-73.9568744
0,1,0,40.7446288,-73.9989715
0,1,0,40.7387967,-73.977147
0,3,4,40.8619359,-73.9207721
2,1,0,40.7295189,-74.0051379
2,2,2,40.6301276,-73.9900458
0,3,4,40.8264293,-73.911792
1,0,1,40.6782273,-73.7423811
2,1,2,40.6586933,-73.9504168
2,2,2,40.6175896,-73.9638107
